DATE,MinTemp,MaxTemp,AvgTemp,Sunrise,Sunset
2014-01-01,33,46,40,657,1756
2014-01-02,35,50,43,657,1756
2014-01-03,36,45,41,657,1757
2014-01-04,32,41,37,658,1757
2014-01-05,24,38,31,658,1758
2014-01-06,22,39,31,658,1759
2014-01-07,28,45,37,658,1759
2014-01-08,30,41,36,659,1800
2014-01-09,29,42,36,659,1801
2014-01-10,30,47,39,659,1801
2014-01-11,32,47,40,659,1802
2014-01-12,30,47,39,659,1803
2014-01-13,29,42,36,659,1803
2014-01-14,31,47,39,659,1804
2014-01-15,35,51,43,659,1804
2014-01-16,35,55,45,700,1805
2014-01-17,42,57,50,700,1806
2014-01-18,38,54,46,700,1806
2014-01-19,37,51,44,700,1807
2014-01-20,36,53,45,659,1808
2014-01-21,40,55,48,659,1808
2014-01-22,31,44,38,659,1809
2014-01-23,31,46,39,659,1810
2014-01-24,39,54,47,659,1810
2014-01-25,41,62,52,659,1811
2014-01-26,42,58,50,659,1811
2014-01-27,38,51,45,659,1812
2014-01-28,29,39,34,658,1813
2014-01-29,30,36,33,658,1813
2014-01-30,28,39,34,658,1814
2014-01-31,33,42,38,658,1814
2014-02-01,35,50,43,657,1815
2014-02-02,37,49,43,657,1816
2014-02-03,36,50,43,657,1816
2014-02-04,36,55,46,656,1817
2014-02-05,38,53,46,656,1817
2014-02-06,39,49,44,655,1818
2014-02-07,39,52,46,655,1818
2014-02-08,37,52,45,655,1819
2014-02-09,34,57,46,654,1819
2014-02-10,36,54,45,654,1820
2014-02-11,34,52,43,653,1820
2014-02-12,35,52,44,653,1821
2014-02-13,35,49,42,652,1821
2014-02-14,36,48,42,652,1822
2014-02-15,38,55,47,651,1822
2014-02-16,36,46,41,651,1823
2014-02-17,36,43,40,650,1823
2014-02-18,37,45,41,649,1823
2014-02-19,35,46,41,649,1824
2014-02-20,33,47,40,648,1824
2014-02-21,34,48,41,647,1825
2014-02-22,34,48,41,647,1825
2014-02-23,33,48,41,646,1825
2014-02-24,33,50,42,646,1826
2014-02-25,33,47,40,645,1826
2014-02-26,36,50,43,644,1827
2014-02-27,36,55,46,643,1827
2014-02-28,36,57,47,643,1827
2014-03-01,41,55,48,642,1828
2014-03-02,31,45,38,641,1828
2014-03-03,31,42,37,640,1828
2014-03-04,34,43,39,640,1829
2014-03-05,33,46,40,639,1829
2014-03-06,35,46,41,638,1829
2014-03-07,34,54,44,637,1830
2014-03-08,34,43,39,637,1830
2014-03-09,36,47,42,636,1830
2014-03-10,32,47,40,635,1831
2014-03-11,31,49,40,634,1831
2014-03-12,29,50,40,633,1831
2014-03-13,33,55,44,632,1832
2014-03-14,36,51,44,632,1832
2014-03-15,32,48,40,631,1832
2014-03-16,31,49,40,630,1832
2014-03-17,36,53,45,629,1833
2014-03-18,35,53,44,628,1833
2014-03-19,35,53,44,627,1833
2014-03-20,33,48,41,626,1833
2014-03-21,30,48,39,626,1834
2014-03-22,30,43,37,625,1834
2014-03-23,32,45,39,624,1834
2014-03-24,31,51,41,623,1834
2014-03-25,34,53,44,622,1835
2014-03-26,35,55,45,621,1835
2014-03-27,31,46,39,620,1835
2014-03-28,29,43,36,620,1835
2014-03-29,32,39,36,619,1836
2014-03-30,32,41,37,618,1836
2014-03-31,31,42,37,617,1836
2014-04-01,34,45,40,616,1836
2014-04-02,33,52,43,615,1837
2014-04-03,36,51,44,614,1837
2014-04-04,31,50,41,614,1837
2014-04-05,31,51,41,613,1838
2014-04-06,35,49,42,612,1838
2014-04-07,35,49,42,611,1838
2014-04-08,35,52,44,610,1838
2014-04-09,36,53,45,610,1839
2014-04-10,35,55,45,609,1839
2014-04-11,37,56,47,608,1839
2014-04-12,36,52,44,607,1839
2014-04-13,32,49,41,606,1840
2014-04-14,31,50,41,606,1840
2014-04-15,36,53,45,605,1840
2014-04-16,40,59,50,604,1841
2014-04-17,42,58,50,603,1841
2014-04-18,43,60,52,602,1841
2014-04-19,43,60,52,602,1841
2014-04-20,41,57,49,601,1842
2014-04-21,40,54,47,600,1842
2014-04-22,38,58,48,600,1842
2014-04-23,41,58,50,559,1843
2014-04-24,41,59,50,558,1843
2014-04-25,43,59,51,558,1843
2014-04-26,45,62,54,557,1844
2014-04-27,42,53,48,556,1844
2014-04-28,40,53,47,556,1844
2014-04-29,39,53,46,555,1845
2014-04-30,37,50,44,554,1845
2014-05-01,36,53,45,554,1845
2014-05-02,38,51,45,553,1846
2014-05-03,36,55,46,553,1846
2014-05-04,36,55,46,552,1846
2014-05-05,40,54,47,552,1847
2014-05-06,40,58,49,551,1847
2014-05-07,42,60,51,550,1847
2014-05-08,42,61,52,550,1848
2014-05-09,44,59,52,550,1848
2014-05-10,42,56,49,549,1849
2014-05-11,40,56,48,549,1849
2014-05-12,38,55,47,548,1849
2014-05-13,38,56,47,548,1850
2014-05-14,40,55,48,547,1850
2014-05-15,41,58,50,547,1851
2014-05-16,44,60,52,547,1851
2014-05-17,,,,546,1851
2014-05-18,43,60,52,546,1852
2014-05-19,44,60,52,546,1852
2014-05-20,44,62,53,545,1853
2014-05-21,47,62,55,545,1853
2014-05-22,44,59,52,545,1853
2014-05-23,41,58,50,545,1854
2014-05-24,39,57,48,544,1854
2014-05-25,38,52,45,544,1855
2014-05-26,36,47,42,544,1855
2014-05-27,35,49,42,544,1855
2014-05-28,35,51,43,544,1856
2014-05-29,34,53,44,543,1856
2014-05-30,36,55,46,543,1856
2014-05-31,35,51,43,543,1857
2014-06-01,34,53,44,543,1857
2014-06-02,36,48,42,543,1858
2014-06-03,38,53,46,543,1858
2014-06-04,37,53,45,543,1858
2014-06-05,40,55,48,543,1859
2014-06-06,35,52,44,543,1859
2014-06-07,36,53,45,543,1859
2014-06-08,42,54,48,543,1900
2014-06-09,44,57,51,543,1900
2014-06-10,43,60,52,543,1900
2014-06-11,42,55,49,543,1901
2014-06-12,37,53,45,543,1901
2014-06-13,35,57,46,543,1901
2014-06-14,37,62,50,544,1902
2014-06-15,42,60,51,544,1902
2014-06-16,41,58,50,544,1902
2014-06-17,37,52,45,544,1902
2014-06-18,36,51,44,544,1903
2014-06-19,40,57,49,544,1903
2014-06-20,39,52,46,545,1903
2014-06-21,35,48,42,545,1903
2014-06-22,37,53,45,545,1904
2014-06-23,41,60,51,545,1904
2014-06-24,42,60,51,545,1904
2014-06-25,45,62,54,546,1904
2014-06-26,48,64,56,546,1904
2014-06-27,47,60,54,546,1904
2014-06-28,47,59,53,546,1905
2014-06-29,45,61,53,547,1905
2014-06-30,43,61,52,547,1905
2014-07-01,45,62,54,547,1905
